name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,,
NC State,7,3,1,50,41,83, ['East Carolina (6 - 4)', 'Texas Tech (5 - 5)', 'Connecticut (6 - 5)', 'Clemson (9 - 1)', 'Florida State (7 - 3)', 'Syracuse (6 - 4)', 'Virginia Tech (2 - 8)', 'Wake Forest (6 - 4)', 'Boston College (3 - 7)'],,,,,,,,
Illinois,7,3,1,45,45,122, ['Wyoming (7 - 3)', 'Indiana (3 - 7)', 'Virginia (3 - 7)', 'Wisconsin (5 - 5)', 'Iowa (6 - 4)', 'Minnesota (7 - 3)', 'Nebraska (3 - 7)', 'Michigan State (5 - 5)', 'Purdue (6 - 4)'],,,,,,,,
Toledo,7,3,1,44,46,88, ['UMass (1 - 9)', 'Ohio State (10 - 0)', 'San Diego State (6 - 4)', 'Central Michigan (4 - 6)', 'Northern Illinois (3 - 7)', 'Kent State (4 - 6)', 'Buffalo (5 - 5)', 'Eastern Michigan (6 - 4)', 'Ball State (5 - 5)'],,,,,,,,
Boise State,7,3,1,41,49,127, ['Oregon State (7 - 3)', 'New Mexico (2 - 8)', 'UTEP (4 - 6)', 'San Diego State (6 - 4)', 'Fresno State (6 - 4)', 'Air Force (7 - 3)', 'Colorado State (2 - 8)', 'BYU (5 - 5)', 'Nevada (2 - 8)'],,,,,,,,
Wyoming,7,3,1,40,51,1, ['Illinois (7 - 3)', 'Tulsa (3 - 7)', 'Air Force (7 - 3)', 'BYU (5 - 5)', 'San José State (7 - 3)', 'New Mexico (2 - 8)', 'Utah State (5 - 5)',Hawai'i (2 - 9), 'Colorado State (2 - 8)'],,,,,,,,
Minnesota,7,3,1,39,51,175, ['New Mexico State (4 - 6)', 'Colorado (1 - 9)', 'Michigan State (5 - 5)', 'Purdue (6 - 4)', 'Illinois (7 - 3)', 'Penn State (8 - 2)', 'Rutgers (4 - 6)', 'Nebraska (3 - 7)', 'Northwestern (1 - 9)'],,,,,,,,
San José State,7,3,1,38,52,70, ['Auburn (4 - 6)', 'Western Michigan (3 - 7)', 'Wyoming (7 - 3)', 'UNLV (4 - 6)', 'Fresno State (6 - 4)', 'New Mexico State (4 - 6)', 'Nevada (2 - 8)', 'Colorado State (2 - 8)', 'San Diego State (6 - 4)'],,,,,,,,
Ohio,7,3,1,36,53,18, ['Florida Atlantic (4 - 5)', 'Penn State (8 - 2)', 'Iowa State (4 - 6)', 'Kent State (4 - 6)', 'Akron (1 - 9)', 'Western Michigan (3 - 7)', 'Northern Illinois (3 - 7)', 'Buffalo (5 - 5)', 'Miami (OH) (4 - 6)'],,,,,,,,
Duke,7,3,1,36,54,122, ['Temple (3 - 7)', 'Northwestern (1 - 9)', 'Kansas (6 - 4)', 'Virginia (3 - 7)', 'Georgia Tech (4 - 6)', 'North Carolina (9 - 1)', 'Miami (5 - 5)', 'Boston College (3 - 7)', 'Virginia Tech (2 - 8)'],,,,,,,,
Air Force,7,3,1,34,55,151, ['Colorado (1 - 9)', 'Wyoming (7 - 3)', 'Nevada (2 - 8)', 'Navy (3 - 7)', 'Utah State (5 - 5)', 'UNLV (4 - 6)', 'Boise State (7 - 3)', 'Army (3 - 6)', 'New Mexico (2 - 8)'],,,,,,,,
Western Kentucky,7,4,1,48,55,184," [""Hawai'i (2 - 9)""", 'Indiana (3 - 7)', 'Florida International (4 - 6)', 'Troy (8 - 2)', 'UT San Antonio (8 - 2)', 'Middle Tennessee (5 - 5)', 'UAB (5 - 5)', 'North Texas (6 - 5)', 'Charlotte (2 - 9)', 'Rice (5 - 5)'],,,,,,,
James Madison,6,3,1,35,43,135, ['Middle Tennessee (5 - 5)', 'Appalachian State (5 - 4)', 'Texas State (3 - 7)', 'Arkansas State (3 - 7)', 'Georgia Southern (5 - 5)', 'Marshall (5 - 4)', 'Louisville (6 - 4)', 'Old Dominion (3 - 7)'],,,,,,,,,
