name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,
Michigan State,2,3,0,15,10,22, ['Western Michigan (2 - 3)', 'Akron (1 - 4)', 'Washington (4 - 1)', 'Minnesota (4 - 1)', 'Maryland (4 - 1)'],
Old Dominion,2,3,0,13,12,-35, ['Virginia Tech (2 - 3)', 'East Carolina (3 - 2)', 'Virginia (2 - 3)', 'Arkansas State (2 - 3)', 'Liberty (4 - 1)'],
Georgia Tech,2,3,1,16,3,-67, ['Clemson (5 - 0)', 'Ole Miss (5 - 0)', 'UCF (3 - 1)', 'Pittsburgh (3 - 2)'],,
Virginia,2,3,1,15,5,-25, ['Illinois (4 - 1)', 'Old Dominion (2 - 3)', 'Syracuse (5 - 0)', 'Duke (4 - 1)'],,
Kent State,2,3,1,14,6,-12, ['Washington (4 - 1)', 'Oklahoma (3 - 2)', 'Georgia (5 - 0)', 'Ohio (2 - 3)'],,
Buffalo,2,3,1,14,6,-16, ['Maryland (4 - 1)', 'Coastal Carolina (5 - 0)', 'Eastern Michigan (3 - 2)', 'Miami (OH) (2 - 3)'],,
Wisconsin,2,3,1,14,7,39, ['Washington State (4 - 1)', 'New Mexico State (1 - 5)', 'Ohio State (5 - 0)', 'Illinois (4 - 1)'],,
New Mexico,2,3,1,14,7,-8, ['Boise State (3 - 2)', 'UTEP (3 - 3)', 'LSU (4 - 1)', 'UNLV (4 - 1)'],,
Missouri,2,3,1,13,6,10, ['Louisiana Tech (1 - 3)', 'Kansas State (4 - 1)', 'Auburn (3 - 2)', 'Georgia (5 - 0)'],,
West Virginia,2,3,1,13,7,43, ['Pittsburgh (3 - 2)', 'Kansas (5 - 0)', 'Virginia Tech (2 - 3)', 'Texas (3 - 2)'],,
Arkansas State,2,3,1,13,7,24, ['Ohio State (5 - 0)', 'Memphis (4 - 1)', 'Old Dominion (2 - 3)', 'Louisiana Monroe (2 - 3)'],,
San Diego State,2,3,1,13,7,-34, ['Arizona (3 - 2)', 'Utah (4 - 1)', 'Toledo (3 - 2)', 'Boise State (3 - 2)'],,
Bowling Green,2,3,1,13,7,-55, ['UCLA (5 - 0)', 'Marshall (3 - 2)', 'Mississippi State (4 - 1)', 'Akron (1 - 4)'],,
Tulsa,2,3,1,13,8,19, ['Wyoming (3 - 3)', 'Northern Illinois (1 - 4)', 'Ole Miss (5 - 0)', 'Cincinnati (4 - 1)'],,
Louisiana,2,3,1,12,8,26, ['Eastern Michigan (3 - 2)', 'Rice (3 - 2)', 'Louisiana Monroe (2 - 3)', 'South Alabama (4 - 1)'],,
Temple,2,3,1,12,8,-9, ['Duke (4 - 1)', 'Rutgers (3 - 2)', 'UMass (1 - 4)', 'Memphis (4 - 1)'],,
Louisiana Monroe,2,3,1,12,8,-83, ['Texas (3 - 2)', 'Alabama (5 - 0)', 'Louisiana (2 - 3)', 'Arkansas State (2 - 3)'],,
Texas State,2,3,1,11,7,-23, ['Nevada (2 - 3)', 'Florida International (2 - 2)', 'Baylor (3 - 2)', 'James Madison (4 - 0)'],,
Boston College,2,3,1,11,9,-26, ['Rutgers (3 - 2)', 'Virginia Tech (2 - 3)', 'Florida State (4 - 1)', 'Louisville (2 - 3)'],,
Miami (OH),2,3,1,11,9,-29, ['Kentucky (4 - 1)', 'Cincinnati (4 - 1)', 'Northwestern (1 - 4)', 'Buffalo (2 - 3)'],,
Ohio,2,3,1,11,9,-66, ['Florida Atlantic (1 - 4)', 'Penn State (5 - 0)', 'Iowa State (3 - 2)', 'Kent State (2 - 3)'],,
Western Michigan,2,3,1,10,9,-27, ['Michigan State (2 - 3)', 'Ball State (2 - 3)', 'Pittsburgh (3 - 2)', 'San José State (3 - 1)'],,
Ball State,2,3,1,10,9,-30, ['Tennessee (4 - 0)', 'Western Michigan (2 - 3)', 'Georgia Southern (3 - 2)', 'Northern Illinois (1 - 4)'],,
Nebraska,2,3,1,10,10,-6, ['Northwestern (1 - 4)', 'Georgia Southern (3 - 2)', 'Oklahoma (3 - 2)', 'Indiana (3 - 2)'],,
Virginia Tech,2,3,1,10,10,-20, ['Old Dominion (2 - 3)', 'Boston College (2 - 3)', 'West Virginia (2 - 3)', 'North Carolina (4 - 1)'],,
Nevada,2,3,1,10,11,-34, ['New Mexico State (1 - 5)', 'Texas State (2 - 3)', 'Iowa (3 - 2)', 'Air Force (4 - 1)'],,
Connecticut,2,4,1,16,8,-105, ['Utah State (1 - 4)', 'Syracuse (5 - 0)', 'Michigan (5 - 0)', 'NC State (4 - 1)', 'Fresno State (1 - 3)'],
Stanford,1,3,1,13,2,-18, ['USC (5 - 0)', 'Washington (4 - 1)', 'Oregon (4 - 1)'],,,
Navy,1,3,1,11,4,-31, ['Memphis (4 - 1)', 'East Carolina (3 - 2)', 'Air Force (4 - 1)'],,,
Louisiana Tech,1,3,1,11,4,-45, ['Missouri (2 - 3)', 'Clemson (5 - 0)', 'South Alabama (4 - 1)'],,,
Fresno State,1,3,1,10,6,-8, ['Oregon State (3 - 2)', 'USC (5 - 0)', 'Connecticut (2 - 4)'],,,
Army,1,3,1,9,6,9, ['Coastal Carolina (5 - 0)', 'UT San Antonio (3 - 2)', 'Georgia State (1 - 4)'],,,
Georgia State,1,4,0,14,11,-29, ['South Carolina (3 - 2)', 'North Carolina (4 - 1)', 'Charlotte (1 - 5)', 'Coastal Carolina (5 - 0)', 'Army (1 - 3)'],
Florida Atlantic,1,4,0,12,14,-18, ['Charlotte (1 - 5)', 'Ohio (2 - 3)', 'UCF (3 - 1)', 'Purdue (3 - 2)', 'North Texas (3 - 3)'],
Arizona State,1,4,1,16,3,-27, ['Oklahoma State (4 - 0)', 'Eastern Michigan (3 - 2)', 'Utah (4 - 1)', 'USC (5 - 0)'],,
Central Michigan,1,4,1,16,3,-27, ['Oklahoma State (4 - 0)', 'South Alabama (4 - 1)', 'Penn State (5 - 0)', 'Toledo (3 - 2)'],,
Utah State,1,4,1,15,6,-94, ['Connecticut (2 - 4)', 'Alabama (5 - 0)', 'UNLV (4 - 1)', 'BYU (4 - 1)'],,
Northwestern,1,4,1,13,7,-25, ['Nebraska (2 - 3)', 'Duke (4 - 1)', 'Miami (OH) (2 - 3)', 'Penn State (5 - 0)'],,
Akron,1,4,1,12,7,-114, ['Michigan State (2 - 3)', 'Tennessee (4 - 0)', 'Liberty (4 - 1)', 'Bowling Green (2 - 3)'],,
South Florida,1,4,1,12,8,-68, ['BYU (4 - 1)', 'Florida (3 - 2)', 'Louisville (2 - 3)', 'East Carolina (3 - 2)'],,
UMass,1,4,1,12,8,-95, ['Tulane (4 - 1)', 'Toledo (3 - 2)', 'Temple (2 - 3)', 'Eastern Michigan (3 - 2)'],,
Hawai'i,1,4,1,12,9,-140, ['Vanderbilt (3 - 2)', 'Western Kentucky (3 - 2)', 'Michigan (5 - 0)', 'New Mexico State (1 - 5)'],,
Northern Illinois,1,4,1,11,9,-20, ['Tulsa (2 - 3)', 'Vanderbilt (3 - 2)', 'Kentucky (4 - 1)', 'Ball State (2 - 3)'],,
New Mexico State,1,5,0,14,16,-110, ['Nevada (2 - 3)', 'Minnesota (4 - 1)', 'UTEP (3 - 3)', 'Wisconsin (2 - 3)',Hawai'i (1 - 4), 'Florida International (2 - 2)']
Charlotte,1,5,1,12,14,-123, ['Florida Atlantic (1 - 4)', 'Maryland (4 - 1)', 'Georgia State (1 - 4)', 'South Carolina (3 - 2)', 'UTEP (3 - 3)'],
Colorado State,0,4,1,12,3,-121, ['Michigan (5 - 0)', 'Middle Tennessee (3 - 2)', 'Washington State (4 - 1)'],,,
Colorado,0,5,0,20,4,-149, ['TCU (4 - 0)', 'Air Force (4 - 1)', 'Minnesota (4 - 1)', 'UCLA (5 - 0)', 'Arizona (3 - 2)'],
