name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,
Wyoming,6,3,1,36,38,0, ['Illinois (7 - 2)', 'Tulsa (3 - 6)', 'Air Force (6 - 3)', 'BYU (5 - 5)', 'San José State (7 - 2)', 'New Mexico (2 - 7)', 'Utah State (4 - 5)',"Hawai'i (2 - 8)""]
Boise State, 6, 3, 1, 35, 39, 89, ['Oregon State (6 - 3)', 'New Mexico (2 - 7)', 'UTEP (4 - 6)', 'San Diego State (5 - 4)', 'Fresno State (5 - 4)', 'Air Force (6 - 3)', 'Colorado State (2 - 7)', 'BYU (5 - 5)']
Minnesota, 6, 3, 1, 34, 38, 147, ['New Mexico State (3 - 6)', 'Colorado (1 - 8)', 'Michigan State (4 - 5)', 'Purdue (5 - 4)', 'Illinois (7 - 2)', 'Penn State (7 - 2)', 'Rutgers (4 - 5)', 'Nebraska (3 - 6)']
Toledo, 6, 3, 1, 33, 39, 81, ['UMass (1 - 8)', 'Ohio State (9 - 0)', 'San Diego State (5 - 4)', 'Central Michigan (3 - 6)', 'Northern Illinois (2 - 7)', 'Kent State (3 - 6)', 'Buffalo (5 - 4)', 'Eastern Michigan (5 - 4)']
Duke, 6, 3, 1, 31, 41, 105, ['Temple (3 - 6)', 'Northwestern (1 - 8)', 'Kansas (6 - 3)', 'Virginia (3 - 6)', 'Georgia Tech (4 - 5)', 'North Carolina (8 - 1)', 'Miami (4 - 5)', 'Boston College (2 - 7)']
Air Force, 6, 3, 1, 29, 42, 119, ['Colorado (1 - 8)', 'Wyoming (6 - 3)', 'Nevada (2 - 7)', 'Navy (3 - 6)', 'Utah State (4 - 5)', 'UNLV (4 - 5)', 'Boise State (6 - 3)', 'Army (3 - 5)']
Ohio, 6, 3, 1, 28, 43, 2, ['Florida Atlantic (3 - 5)', 'Penn State (7 - 2)', 'Iowa State (4 - 5)', 'Kent State (3 - 6)', 'Akron (1 - 8)', 'Western Michigan (3 - 6)', 'Northern Illinois (2 - 7)', 'Buffalo (5 - 4)']
North Texas, 6, 4, 1, 40, 42, 69, ['UTEP (4 - 6)', 'SMU (5 - 4)', 'UNLV (4 - 5)', 'Memphis (4 - 5)', 'Florida Atlantic (3 - 5)', 'Louisiana Tech (3 - 6)', 'UT San Antonio (7 - 2)', 'Western Kentucky (6 - 4)', 'Florida International (4 - 5)']
Western Kentucky, 6, 4, 1, 39, 45, 149, [""Hawai'i (2 - 8)", 'Indiana (3 - 6)', 'Florida International (4 - 5)', 'Troy (7 - 2)', 'UT San Antonio (7 - 2)', 'Middle Tennessee (4 - 5)', 'UAB (4 - 5)', 'North Texas (6 - 4)', 'Charlotte (2 - 8)']
James Madison,5,3,1,30,33,101, ['Middle Tennessee (4 - 5)', 'Appalachian State (5 - 4)', 'Texas State (3 - 6)', 'Arkansas State (2 - 7)', 'Georgia Southern (5 - 4)', 'Marshall (5 - 4)', 'Louisville (6 - 3)'],,,,,,,,,
Oklahoma,5,4,0,47,35,31, ['UTEP (4 - 6)', 'Kent State (3 - 6)', 'Nebraska (3 - 6)', 'Kansas State (6 - 3)', 'TCU (9 - 0)', 'Texas (6 - 3)', 'Kansas (6 - 3)', 'Iowa State (4 - 5)', 'Baylor (6 - 3)'],,,,,,,
Houston,5,4,0,43,38,5, ['UT San Antonio (7 - 2)', 'Texas Tech (4 - 5)', 'Kansas (6 - 3)', 'Rice (5 - 4)', 'Tulane (8 - 1)', 'Memphis (4 - 5)', 'Navy (3 - 6)', 'South Florida (1 - 8)', 'SMU (5 - 4)'],,,,,,,
SMU,5,4,1,46,27,59, ['North Texas (6 - 4)', 'Maryland (6 - 3)', 'TCU (9 - 0)', 'UCF (7 - 2)', 'Navy (3 - 6)', 'Cincinnati (7 - 2)', 'Tulsa (3 - 6)', 'Houston (5 - 4)'],,,,,,,,
Florida,5,4,1,45,27,18, ['Utah (7 - 2)', 'Kentucky (6 - 3)', 'South Florida (1 - 8)', 'Tennessee (8 - 1)', 'Missouri (4 - 5)', 'LSU (7 - 2)', 'Georgia (9 - 0)', 'Texas A&M (3 - 6)'],,,,,,,,
Arkansas,5,4,1,45,28,13, ['Cincinnati (7 - 2)', 'South Carolina (6 - 3)', 'Texas A&M (3 - 6)', 'Alabama (7 - 2)', 'Mississippi State (6 - 3)', 'BYU (5 - 5)', 'Auburn (3 - 6)', 'Liberty (8 - 1)'],,,,,,,,
Washington State,5,4,1,42,30,61, ['Wisconsin (5 - 4)', 'Colorado State (2 - 7)', 'Oregon (8 - 1)', 'California (3 - 6)', 'USC (8 - 1)', 'Oregon State (6 - 3)', 'Utah (7 - 2)', 'Stanford (3 - 6)'],,,,,,,,
Purdue,5,4,1,41,30,37, ['Penn State (7 - 2)', 'Syracuse (6 - 3)', 'Florida Atlantic (3 - 5)', 'Minnesota (6 - 3)', 'Maryland (6 - 3)', 'Nebraska (3 - 6)', 'Wisconsin (5 - 4)', 'Iowa (5 - 4)'],,,,,,,,
Buffalo,5,4,1,41,31,28, ['Maryland (6 - 3)', 'Coastal Carolina (8 - 1)', 'Eastern Michigan (5 - 4)', 'Miami (OH) (4 - 5)', 'Bowling Green (5 - 4)', 'UMass (1 - 8)', 'Toledo (6 - 3)', 'Ohio (6 - 3)'],,,,,,,,
