name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,
Texas Tech,3,3,1,22,7,27, ['Houston (3 - 3)', 'NC State (5 - 1)', 'Texas (4 - 2)', 'Kansas State (5 - 1)', 'Oklahoma State (5 - 0)'],,,,
Indiana,3,3,1,22,8,-37, ['Illinois (5 - 1)', 'Western Kentucky (3 - 3)', 'Cincinnati (5 - 1)', 'Nebraska (3 - 3)', 'Michigan (6 - 0)'],,,,
Auburn,3,3,1,21,7,-28, ['San José State (4 - 1)', 'Penn State (5 - 0)', 'Missouri (2 - 4)', 'LSU (4 - 2)', 'Georgia (6 - 0)'],,,,
Appalachian State,3,3,1,20,9,38, ['North Carolina (5 - 1)', 'Texas A&M (3 - 3)', 'Troy (4 - 2)', 'James Madison (5 - 0)', 'Texas State (3 - 3)'],,,,
Iowa State,3,3,1,19,10,57, ['Iowa (3 - 3)', 'Ohio (3 - 3)', 'Baylor (3 - 2)', 'Kansas (5 - 1)', 'Kansas State (5 - 1)'],,,,
Texas A&M,3,3,1,19,10,16, ['Appalachian State (3 - 3)', 'Miami (2 - 3)', 'Arkansas (3 - 3)', 'Mississippi State (5 - 1)', 'Alabama (6 - 0)'],,,,
Iowa,3,3,1,19,11,29, ['Iowa State (3 - 3)', 'Nevada (2 - 4)', 'Rutgers (3 - 3)', 'Michigan (6 - 0)', 'Illinois (5 - 1)'],,,,
Buffalo,3,3,1,19,11,15, ['Maryland (4 - 2)', 'Coastal Carolina (6 - 0)', 'Eastern Michigan (4 - 2)', 'Miami (OH) (3 - 3)', 'Bowling Green (2 - 4)'],,,,
Vanderbilt,3,3,1,19,11,-22," [""Hawai'i (1 - 5)""", 'Wake Forest (5 - 1)', 'Northern Illinois (1 - 5)', 'Alabama (6 - 0)', 'Ole Miss (6 - 0)'],,,,
Georgia Southern,3,3,1,17,12,40, ['Nebraska (3 - 3)', 'UAB (3 - 2)', 'Ball State (3 - 3)', 'Coastal Carolina (6 - 0)', 'Georgia State (2 - 4)'],,,,
Wisconsin,3,3,1,17,13,74, ['Washington State (4 - 2)', 'New Mexico State (1 - 5)', 'Ohio State (6 - 0)', 'Illinois (5 - 1)', 'Northwestern (1 - 5)'],,,,
Arizona,3,3,1,16,12,-23, ['San Diego State (3 - 3)', 'Mississippi State (5 - 1)', 'California (3 - 2)', 'Colorado (0 - 5)', 'Oregon (5 - 1)'],,,,
Rutgers,3,3,1,16,13,5, ['Boston College (2 - 4)', 'Temple (2 - 3)', 'Iowa (3 - 3)', 'Ohio State (6 - 0)', 'Nebraska (3 - 3)'],,,,
San Diego State,3,3,1,16,14,-32, ['Arizona (3 - 3)', 'Utah (4 - 2)', 'Toledo (4 - 2)', 'Boise State (4 - 2)',"Hawai'i (1 - 5)""]
Middle Tennessee, 3, 3, 1, 15, 11, -7, ['James Madison (5 - 0)', 'Colorado State (1 - 4)', 'Miami (2 - 3)', 'UT San Antonio (4 - 2)', 'UAB (3 - 2)']
Texas State, 3, 3, 1, 15, 12, -11, ['Nevada (2 - 4)', 'Florida International (2 - 3)', 'Baylor (3 - 2)', 'James Madison (5 - 0)', 'Appalachian State (3 - 3)']
East Carolina, 3, 3, 1, 15, 13, 65, ['NC State (5 - 1)', 'Old Dominion (2 - 3)', 'Navy (2 - 3)', 'South Florida (1 - 5)', 'Tulane (5 - 1)']
Miami (OH), 3, 3, 1, 15, 15, -26, ['Kentucky (4 - 2)', 'Cincinnati (5 - 1)', 'Northwestern (1 - 5)', 'Buffalo (3 - 3)', 'Kent State (2 - 4)']
Western Kentucky, 3, 3, 1, 14, 15, 103, [""Hawai'i (1 - 5)", 'Indiana (3 - 3)', 'Florida International (2 - 3)', 'Troy (4 - 2)', 'UT San Antonio (4 - 2)']
North Texas,3,3,1,14,15,-12, ['UTEP (3 - 4)', 'SMU (2 - 3)', 'UNLV (4 - 2)', 'Memphis (4 - 2)', 'Florida Atlantic (1 - 4)'],,,,
Nebraska,3,3,1,13,17,-5, ['Northwestern (1 - 5)', 'Georgia Southern (3 - 3)', 'Oklahoma (3 - 3)', 'Indiana (3 - 3)', 'Rutgers (3 - 3)'],,,,
Ohio,3,3,1,12,16,-45, ['Florida Atlantic (1 - 4)', 'Penn State (5 - 0)', 'Iowa State (3 - 3)', 'Kent State (2 - 4)', 'Akron (1 - 5)'],,,,
Ball State,3,3,1,12,17,-29, ['Tennessee (5 - 0)', 'Western Michigan (2 - 4)', 'Georgia Southern (3 - 3)', 'Northern Illinois (1 - 5)', 'Central Michigan (1 - 5)'],,,,
UTEP,3,4,0,16,25,-47, ['North Texas (3 - 3)', 'Oklahoma (3 - 3)', 'New Mexico State (1 - 5)', 'New Mexico (2 - 4)', 'Boise State (4 - 2)', 'Charlotte (1 - 5)', 'Louisiana Tech (2 - 3)'],,
Connecticut,3,4,1,21,12,-84, ['Utah State (2 - 4)', 'Syracuse (5 - 0)', 'Michigan (6 - 0)', 'NC State (5 - 1)', 'Fresno State (1 - 4)', 'Florida International (2 - 3)'],,,
Old Dominion,2,3,0,14,16,-35, ['Virginia Tech (2 - 4)', 'East Carolina (3 - 3)', 'Virginia (2 - 4)', 'Arkansas State (2 - 4)', 'Liberty (5 - 1)'],,,,
SMU,2,3,1,16,6,30, ['North Texas (3 - 3)', 'Maryland (4 - 2)', 'TCU (5 - 0)', 'UCF (4 - 1)'],,,,,
Southern Mississippi,2,3,1,16,7,15, ['Liberty (5 - 1)', 'Miami (2 - 3)', 'Tulane (5 - 1)', 'Troy (4 - 2)'],,,,,
West Virginia,2,3,1,15,9,43, ['Pittsburgh (4 - 2)', 'Kansas (5 - 1)', 'Virginia Tech (2 - 4)', 'Texas (4 - 2)'],,,,,
Louisiana Tech,2,3,1,15,9,-35, ['Missouri (2 - 4)', 'Clemson (6 - 0)', 'South Alabama (4 - 1)', 'UTEP (3 - 4)'],,,,,
Louisiana,2,3,1,13,9,26, ['Eastern Michigan (4 - 2)', 'Rice (3 - 2)', 'Louisiana Monroe (2 - 4)', 'South Alabama (4 - 1)'],,,,,
Miami,2,3,1,13,10,55, ['Southern Mississippi (2 - 3)', 'Texas A&M (3 - 3)', 'Middle Tennessee (3 - 3)', 'North Carolina (5 - 1)'],,,,,
Navy,2,3,1,13,11,1, ['Memphis (4 - 2)', 'East Carolina (3 - 3)', 'Air Force (4 - 2)', 'Tulsa (2 - 4)'],,,,,
Temple,2,3,1,12,12,-9, ['Duke (4 - 2)', 'Rutgers (3 - 3)', 'UMass (1 - 5)', 'Memphis (4 - 2)'],,,,,
Florida International,2,3,1,10,15,-108, ['Texas State (3 - 3)', 'Western Kentucky (3 - 3)', 'New Mexico State (1 - 5)', 'Connecticut (3 - 4)'],,,,,
Michigan State,2,4,0,21,14,-7, ['Western Michigan (2 - 4)', 'Akron (1 - 5)', 'Washington (4 - 2)', 'Minnesota (4 - 1)', 'Maryland (4 - 2)', 'Ohio State (6 - 0)'],,,
Georgia State,2,4,0,20,15,-21, ['South Carolina (4 - 2)', 'North Carolina (5 - 1)', 'Charlotte (1 - 5)', 'Coastal Carolina (6 - 0)', 'Army (1 - 4)', 'Georgia Southern (3 - 3)'],,,
Arizona State,2,4,1,23,6,-20, ['Oklahoma State (5 - 0)', 'Eastern Michigan (4 - 2)', 'Utah (4 - 2)', 'USC (6 - 0)', 'Washington (4 - 2)'],,,,
Utah State,2,4,1,21,10,-87, ['Connecticut (3 - 4)', 'Alabama (6 - 0)', 'UNLV (4 - 2)', 'BYU (4 - 2)', 'Air Force (4 - 2)'],,,,
Missouri,2,4,1,20,9,3, ['Louisiana Tech (2 - 3)', 'Kansas State (5 - 1)', 'Auburn (3 - 3)', 'Georgia (6 - 0)', 'Florida (4 - 2)'],,,,
Louisiana Monroe,2,4,1,20,9,-90, ['Texas (4 - 2)', 'Alabama (6 - 0)', 'Louisiana (2 - 3)', 'Arkansas State (2 - 4)', 'Coastal Carolina (6 - 0)'],,,,
Arkansas State,2,4,1,19,9,2, ['Ohio State (6 - 0)', 'Memphis (4 - 2)', 'Old Dominion (2 - 3)', 'Louisiana Monroe (2 - 4)', 'James Madison (5 - 0)'],,,,
Virginia,2,4,1,19,9,-42, ['Illinois (5 - 1)', 'Old Dominion (2 - 3)', 'Syracuse (5 - 0)', 'Duke (4 - 2)', 'Louisville (3 - 3)'],,,,
Kent State,2,4,1,19,11,-15, ['Washington (4 - 2)', 'Oklahoma (3 - 3)', 'Georgia (6 - 0)', 'Ohio (3 - 3)', 'Miami (OH) (3 - 3)'],,,,
New Mexico,2,4,1,19,13,-21, ['Boise State (4 - 2)', 'UTEP (3 - 4)', 'LSU (4 - 2)', 'UNLV (4 - 2)', 'Wyoming (4 - 3)'],,,,
Bowling Green,2,4,1,18,11,-86, ['UCLA (6 - 0)', 'Marshall (3 - 2)', 'Mississippi State (5 - 1)', 'Akron (1 - 5)', 'Buffalo (3 - 3)'],,,,
Tulsa,2,4,1,18,12,-13, ['Wyoming (4 - 3)', 'Northern Illinois (1 - 5)', 'Ole Miss (6 - 0)', 'Cincinnati (5 - 1)', 'Navy (2 - 3)'],,,,
Boston College,2,4,1,18,12,-54, ['Rutgers (3 - 3)', 'Virginia Tech (2 - 4)', 'Florida State (4 - 2)', 'Louisville (3 - 3)', 'Clemson (6 - 0)'],,,,
Western Michigan,2,4,1,17,12,-49, ['Michigan State (2 - 4)', 'Ball State (3 - 3)', 'Pittsburgh (4 - 2)', 'San José State (4 - 1)', 'Eastern Michigan (4 - 2)'],,,,
Virginia Tech,2,4,1,15,13,-36, ['Old Dominion (2 - 3)', 'Boston College (2 - 4)', 'West Virginia (2 - 3)', 'North Carolina (5 - 1)', 'Pittsburgh (4 - 2)'],,,,
Nevada,2,4,1,12,17,-37, ['New Mexico State (1 - 5)', 'Texas State (3 - 3)', 'Iowa (3 - 3)', 'Air Force (4 - 2)', 'Colorado State (1 - 4)'],,,,
Florida Atlantic,1,4,0,15,14,-18, ['Charlotte (1 - 5)', 'Ohio (3 - 3)', 'UCF (4 - 1)', 'Purdue (4 - 2)', 'North Texas (3 - 3)'],,,,
Stanford,1,4,1,19,5,-19, ['USC (6 - 0)', 'Washington (4 - 2)', 'Oregon (5 - 1)', 'Oregon State (4 - 2)'],,,,,
Army,1,4,1,17,7,-26, ['Coastal Carolina (6 - 0)', 'UT San Antonio (4 - 2)', 'Georgia State (2 - 4)', 'Wake Forest (5 - 1)'],,,,,
Fresno State,1,4,1,17,8,-28, ['Oregon State (4 - 2)', 'USC (6 - 0)', 'Connecticut (3 - 4)', 'Boise State (4 - 2)'],,,,,
Colorado State,1,4,1,15,9,-118, ['Michigan (6 - 0)', 'Middle Tennessee (3 - 3)', 'Washington State (4 - 2)', 'Nevada (2 - 4)'],,,,,
New Mexico State,1,5,0,15,20,-110, ['Nevada (2 - 4)', 'Minnesota (4 - 1)', 'UTEP (3 - 4)', 'Wisconsin (3 - 3)',Hawai'i (1 - 5), 'Florida International (2 - 3)'],,,
Central Michigan,1,5,1,21,6,-28, ['Oklahoma State (5 - 0)', 'South Alabama (4 - 1)', 'Penn State (5 - 0)', 'Toledo (4 - 2)', 'Ball State (3 - 3)'],,,,
UMass,1,5,1,20,9,-113, ['Tulane (5 - 1)', 'Toledo (4 - 2)', 'Temple (2 - 3)', 'Eastern Michigan (4 - 2)', 'Liberty (5 - 1)'],,,,
South Florida,1,5,1,19,11,-72, ['BYU (4 - 2)', 'Florida (4 - 2)', 'Louisville (3 - 3)', 'East Carolina (3 - 3)', 'Cincinnati (5 - 1)'],,,,
Northwestern,1,5,1,18,11,-60, ['Nebraska (3 - 3)', 'Duke (4 - 2)', 'Miami (OH) (3 - 3)', 'Penn State (5 - 0)', 'Wisconsin (3 - 3)'],,,,
Akron,1,5,1,17,12,-135, ['Michigan State (2 - 4)', 'Tennessee (5 - 0)', 'Liberty (5 - 1)', 'Bowling Green (2 - 4)', 'Ohio (3 - 3)'],,,,
Northern Illinois,1,5,1,16,14,-40, ['Tulsa (2 - 4)', 'Vanderbilt (3 - 3)', 'Kentucky (4 - 2)', 'Ball State (3 - 3)', 'Toledo (4 - 2)'],,,,
Hawai'i,1,5,1,16,14,-142, ['Vanderbilt (3 - 3)', 'Western Kentucky (3 - 3)', 'Michigan (6 - 0)', 'New Mexico State (1 - 5)', 'San Diego State (3 - 3)'],,,,
Charlotte,1,5,1,14,16,-123, ['Florida Atlantic (1 - 4)', 'Maryland (4 - 2)', 'Georgia State (2 - 4)', 'South Carolina (4 - 2)', 'UTEP (3 - 4)'],,,,
Colorado,0,5,0,22,6,-149, ['TCU (5 - 0)', 'Air Force (4 - 2)', 'Minnesota (4 - 1)', 'UCLA (6 - 0)', 'Arizona (3 - 3)'],,,,
