name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents
North Texas, 2, 3, 1, 10, 7, -29, ['UTEP (2 - 3)', 'SMU (2 - 2)', 'UNLV (3 - 1)', 'Memphis (3 - 1)']
Nevada, 2, 3, 1, 9, 8, -34, ['New Mexico State (1 - 4)', 'Texas State (2 - 2)', 'Iowa (3 - 1)', 'Air Force (3 - 1)']
Stanford, 1, 2, 1, 8, 0, 0, ['USC (4 - 0)', 'Washington (4 - 0)']
Fresno State, 1, 2, 1, 7, 1, -3, ['Oregon State (3 - 1)', 'USC (4 - 0)']
Army, 1, 2, 1, 6, 2, 26, ['Coastal Carolina (4 - 0)', 'UT San Antonio (2 - 2)']
Navy, 1, 2, 1, 5, 3, -28, ['Memphis (3 - 1)', 'East Carolina (2 - 2)']
Florida International, 1, 2, 1, 5, 3, -101, ['Texas State (2 - 2)', 'Western Kentucky (3 - 1)']
Western Michigan, 1, 3, 0, 8, 7, -64, ['Michigan State (2 - 2)', 'Ball State (1 - 3)', 'Pittsburgh (3 - 1)', 'San José State (2 - 1)']
Florida Atlantic, 1, 3, 0, 8, 9, -1, ['Charlotte (1 - 4)', 'Ohio (2 - 2)', 'UCF (3 - 1)', 'Purdue (2 - 2)']
Kent State, 1, 3, 1, 11, 1, -19, ['Washington (4 - 0)', 'Oklahoma (3 - 1)', 'Georgia (4 - 0)']
Georgia Tech, 1, 3, 1, 11, 1, -72, ['Clemson (4 - 0)', 'Ole Miss (4 - 0)', 'UCF (3 - 1)']
Central Michigan, 1, 3, 1, 10, 1, -6, ['Oklahoma State (3 - 0)', 'South Alabama (3 - 1)', 'Penn State (4 - 0)']
Arkansas State, 1, 3, 1, 9, 3, 7, ['Ohio State (4 - 0)', 'Memphis (3 - 1)', 'Old Dominion (2 - 2)']
Buffalo, 1, 3, 1, 9, 3, -20, ['Maryland (3 - 1)', 'Coastal Carolina (4 - 0)', 'Eastern Michigan (2 - 2)']
Boston College, 1, 3, 1, 9, 3, -27, ['Rutgers (3 - 1)', 'Virginia Tech (2 - 2)', 'Florida State (4 - 0)']
Louisiana Tech, 1, 3, 1, 9, 3, -45, ['Missouri (2 - 2)', 'Clemson (4 - 0)', 'South Alabama (3 - 1)']
Bowling Green, 1, 3, 1, 9, 3, -58, ['UCLA (4 - 0)', 'Marshall (2 - 2)', 'Mississippi State (3 - 1)']
Akron, 1, 3, 1, 9, 3, -111, ['Michigan State (2 - 2)', 'Tennessee (4 - 0)', 'Liberty (3 - 1)']
Northern Illinois, 1, 3, 1, 9, 4, -14, ['Tulsa (2 - 2)', 'Vanderbilt (3 - 2)', 'Kentucky (4 - 0)']
Arizona State, 1, 3, 1, 8, 3, -10, ['Oklahoma State (3 - 0)', 'Eastern Michigan (2 - 2)', 'Utah (3 - 1)']
Ball State, 1, 3, 1, 8, 4, -36, ['Tennessee (4 - 0)', 'Western Michigan (1 - 3)', 'Georgia Southern (3 - 1)']
Utah State, 1, 3, 1, 8, 5, -82, ['Connecticut (1 - 4)', 'Alabama (4 - 0)', 'UNLV (3 - 1)']
Nebraska, 1, 3, 1, 7, 5, -20, ['Northwestern (1 - 3)', 'Georgia Southern (3 - 1)', 'Oklahoma (3 - 1)']
South Florida, 1, 3, 1, 7, 5, -48, ['BYU (3 - 1)', 'Florida (2 - 2)', 'Louisville (2 - 2)']
UMass, 1, 3, 1, 7, 5, -88, ['Tulane (3 - 1)', 'Toledo (2 - 2)', 'Temple (2 - 2)']
Northwestern, 1, 3, 1, 6, 6, -15, ['Nebraska (1 - 3)', 'Duke (3 - 1)', 'Miami (OH) (2 - 2)']
New Mexico State, 1, 4, 0, 11, 12, -96, ['Nevada (2 - 3)', 'Minnesota (4 - 0)', 'UTEP (2 - 3)', 'Wisconsin (2 - 2)', "Hawai'i (1 - 4)"]
Connecticut, 1, 4, 1, 13, 3, -110, ['Utah State (1 - 3)', 'Syracuse (4 - 0)', 'Michigan (4 - 0)', 'NC State (4 - 0)']
Hawai'i, 1, 4, 1, 11, 7, -140, ['Vanderbilt (3 - 2)', 'Western Kentucky (3 - 1)', 'Michigan (4 - 0)', 'New Mexico State (1 - 4)']
Charlotte, 1, 4, 1, 6, 10, -117, ['Florida Atlantic (1 - 3)', 'Maryland (3 - 1)', 'Georgia State (0 - 4)', 'South Carolina (2 - 2)']
Colorado, 0, 4, 0, 14, 1, -126, ['TCU (3 - 0)', 'Air Force (3 - 1)', 'Minnesota (4 - 0)', 'UCLA (4 - 0)']
Georgia State, 0, 4, 0, 10, 7, -46, ['South Carolina (2 - 2)', 'North Carolina (3 - 1)', 'Charlotte (1 - 4)', 'Coastal Carolina (4 - 0)']
Colorado State, 0, 4, 1, 10, 2, -121, ['Michigan (4 - 0)', 'Middle Tennessee (3 - 1)', 'Washington State (3 - 1)']
