name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents
Cincinnati, 6, 2, 1, 26, 31, 100, ['Arkansas (5 - 3)', 'Miami (OH) (4 - 5)', 'Indiana (3 - 5)', 'Tulsa (3 - 5)', 'South Florida (1 - 7)', 'SMU (4 - 4)', 'UCF (6 - 2)']
Washington, 6, 2, 1, 25, 31, 102, ['Kent State (3 - 5)', 'Michigan State (3 - 5)', 'Stanford (3 - 5)', 'UCLA (7 - 1)', 'Arizona State (3 - 5)', 'Arizona (3 - 5)', 'California (3 - 5)']
South Alabama, 6, 2, 1, 25, 32, 112, ['Central Michigan (2 - 6)', 'UCLA (7 - 1)', 'Louisiana Tech (2 - 6)', 'Louisiana (4 - 4)', 'Louisiana Monroe (2 - 6)', 'Troy (6 - 2)', 'Arkansas State (2 - 7)']
San José State, 6, 2, 1, 25, 34, 74, ['Auburn (3 - 5)', 'Western Michigan (3 - 5)', 'Wyoming (6 - 3)', 'UNLV (4 - 4)', 'Fresno State (4 - 4)', 'New Mexico State (3 - 6)', 'Nevada (2 - 7)']
East Carolina, 6, 3, 1, 34, 31, 91, ['NC State (6 - 2)', 'Old Dominion (3 - 5)', 'Navy (3 - 5)', 'South Florida (1 - 7)', 'Tulane (7 - 1)', 'Memphis (4 - 4)', 'UCF (6 - 2)', 'BYU (4 - 5)']
Wyoming, 6, 3, 1, 32, 34, 0, ['Illinois (7 - 1)', 'Tulsa (3 - 5)', 'Air Force (5 - 3)', 'BYU (4 - 5)', 'San José State (6 - 2)', 'New Mexico (2 - 6)', 'Utah State (3 - 5)', "Hawai'i (2 - 7)"]
Toledo, 6, 3, 1, 30, 35, 81, ['UMass (1 - 7)', 'Ohio State (8 - 0)', 'San Diego State (4 - 4)', 'Central Michigan (2 - 6)', 'Northern Illinois (2 - 6)', 'Kent State (3 - 5)', 'Buffalo (5 - 3)', 'Eastern Michigan (5 - 4)']
James Madison, 5, 2, 1, 23, 26, 125, ['Middle Tennessee (4 - 4)', 'Appalachian State (5 - 3)', 'Texas State (3 - 5)', 'Arkansas State (2 - 7)', 'Georgia Southern (5 - 3)', 'Marshall (4 - 4)']
Notre Dame, 5, 3, 0, 39, 26, 50, ['Ohio State (8 - 0)', 'Marshall (4 - 4)', 'California (3 - 5)', 'North Carolina (7 - 1)', 'BYU (4 - 5)', 'Stanford (3 - 5)', 'UNLV (4 - 4)', 'Syracuse (6 - 2)']
Mississippi State, 5, 3, 0, 37, 27, 71, ['Memphis (4 - 4)', 'Arizona (3 - 5)', 'LSU (6 - 2)', 'Bowling Green (4 - 4)', 'Texas A&M (3 - 5)', 'Arkansas (5 - 3)', 'Kentucky (5 - 3)', 'Alabama (7 - 1)']
Oklahoma, 5, 3, 0, 37, 28, 34, ['UTEP (4 - 5)', 'Kent State (3 - 5)', 'Nebraska (3 - 5)', 'Kansas State (6 - 2)', 'TCU (8 - 0)', 'Texas (5 - 3)', 'Kansas (5 - 3)', 'Iowa State (3 - 5)']
